country,year,pop65_percentage,life_expectancy,health_exp_usd
Austria,2022,"19,7897509199721","81,2951219512195","5897,97607422"
Austria,2021,"19,462852720957","81,190243902439","6554,14257813"
Austria,2020,"19,169788839314","81,1926829268293","5569,84130859"
Austria,2019,"18,9402993578561","81,8951219512195","5313,19287109"
Austria,2018,"18,7625828458159","81,6926829268293","5394,55908203"
Austria,2017,"18,6103296736393","81,6439024390244","4999,86962891"
Austria,2016,"18,4999156835518","81,6414634146342","4758,89892578"
Austria,2015,"18,4613708048616","81,190243902439","4649,59667969"
Austria,2014,"18,3880563664351","81,490243902439","5418,47558594"
Austria,2013,"18,1994460470678","81,1365853658537","5251,96826172"
Austria,2012,"17,9497049255533","80,9365853658537","4983,67724609"
Austria,2011,"17,7360671109115","80,9829268292683","5191,92333984"
Austria,2010,"17,6592449706019","80,5804878048781","4815,26953125"
Austria,2009,"17,531366290654","80,3317073170732","4939,75878906"
Austria,2008,"17,2809727927874","80,4317073170732","5080,83740234"
Austria,2007,"17,0280423461531","80,1804878048781","4484,81640625"
Austria,2006,"16,6795154741016","79,8804878048781","3899,90722656"
Austria,2005,"16,2126667286006","79,3317073170732","3720,02441406"
Austria,2004,"15,733576999106","79,1804878048781","3606,77856445"
Austria,2003,"15,474203955826","78,6317073170732","3122,31201172"
Austria,2002,"15,4618807713017","78,6780487804878","2531,61938477"
Austria,2001,"15,4633865658572","78,5756097560976","2315,42285156"
Austria,2000,"15,4406416730563","78,1268292682927","2301,89208984"
Belgium,2022,"19,7671927585206","81,7487804878049","5487,59277344"
Belgium,2021,"19,4520520478909","81,790243902439","5847,17333984"
Belgium,2020,"19,224020193227","80,6951219512195","5269,40625"
Belgium,2019,"19,029838081816","81,9951219512195","5087,45654297"
Belgium,2018,"18,8086209996758","81,5951219512195","5233,68261719"
Belgium,2017,"18,584903433857","81,4926829268293","4827,59326172"
Belgium,2016,"18,356666180316","81,4390243902439","4569,640625"
Belgium,2015,"18,1637094668899","80,9926829268293","4465,45556641"
Belgium,2014,"17,9621509816265","81,2878048780488","5110,17333984"
Belgium,2013,"17,7203816464754","80,5878048780488","5005,64990234"
Belgium,2012,"17,4894292316249","80,3853658536585","4763,93505859"
Belgium,2011,"17,2510605141588","80,5853658536585","4990,35595703"
Belgium,2010,"17,1172634557158","80,1829268292683","4626,02685547"
Belgium,2009,"17,0993251555047","80,0341463414634","4755,80859375"
Belgium,2008,"17,0686641068395","79,6804878048781","4656,04150391"
Belgium,2007,"17,0787754073517","79,7829268292683","4066,2121582"
Belgium,2006,"17,1587511616051","79,380487804878","3547,06835938"
Belgium,2005,"17,2201996099681","78,9804878048781","3415,64599609"
Belgium,2004,"17,1755814921989","78,8780487804878","3322,28857422"
Belgium,2003,"17,0709725854981","78,1292682926829","2822,50341797"
Belgium,2002,"16,9798372646478","78,0756097560976","2084,7199707"
Belgium,2001,"16,899389905001","77,9731707317073","1879,93457031"
Belgium,2000,"16,8052483305967","77,7219512195122","1849,91601563"
Czechia,2022,"20,5183106530339","78,9292682926829","2431,08496094"
Czechia,2021,"20,5371541683077","77,2219512195122","2538,03344727"
Czechia,2020,"20,2939736426932","78,2268292682927","2106,28027344"
Czechia,2019,"19,9485877378936","79,2292682926829","1805,44030762"
Czechia,2018,"19,5315793430182","79,0292682926829","1750,81188965"
Czechia,2017,"19,085882000882","78,9780487804878","1516,75012207"
Czechia,2016,"18,5951592241056","79,0268292682927","1374,9005127"
Czechia,2015,"18,0968797652582","78,5780487804878","1308,8013916"
Czechia,2014,"17,6054939584589","78,8243902439024","1512,59326172"
Czechia,2013,"17,0821590856387","78,1756097560976","1508,79907227"
Czechia,2012,"16,5000497271668","78,0756097560976","1509,77526855"
Czechia,2011,"15,8988256979579","77,8731707317073","1649,15905762"
Czechia,2010,"15,4590024087743","77,4243902439025","1509,44726563"
Czechia,2009,"15,1357868347276","77,0780487804878","1442,24279785"
Czechia,2008,"14,7818728369816","76,9756097560976","1449,33679199"
Czechia,2007,"14,4823049345478","76,7243902439025","1110,17663574"
Czechia,2006,"14,2526797649416","76,5243902439024","942,11804199"
Czechia,2005,"14,0575832897421","75,9243902439025","852,65246582"
Czechia,2004,"13,9214932549247","75,7219512195122","746,32891846"
Czechia,2003,"13,8568269490459","75,1707317073171","640,66040039"
Czechia,2002,"13,8299128431282","75,2219512195122","497,74203491"
Czechia,2001,"13,8031991208702","75,1731707317073","388,54403687"
Czechia,2000,"13,7609941540348","74,9682926829268","342,92108154"
Germany,2022,"22,4589063795192","80,6080487804878","6226,14208984"
Germany,2021,"22,1345373657439","80,790243902439","6653,58349609"
Germany,2020,"21,8447281174981","81,0414634146342","5906,80615234"
Germany,2019,"21,6283933065816","81,2926829268293","5447,31787109"
Germany,2018,"21,4497613850113","80,8926829268293","5473,55712891"
Germany,2017,"21,2936405100178","80,9926829268293","5039,35302734"
Germany,2016,"21,134996177657","80,990243902439","4723,32421875"
Germany,2015,"21,0533536816501","80,6414634146341","4605,59033203"
Germany,2014,"20,9586686898656","81,090243902439","5287,34423828"
Germany,2013,"20,8129761139965","80,490243902439","5080,62402344"
Germany,2012,"20,6376494265399","80,5390243902439","4744,87011719"
Germany,2011,"20,5214981321516","80,4365853658537","5016,23583984"
Germany,2010,"20,5654453486144","79,9878048780488","4592,07128906"
Germany,2009,"20,5215956309191","79,8365853658537","4655,171875"
Germany,2008,"20,2873147195182","79,7365853658537","4647,31005859"
Germany,2007,"19,9911941840778","79,5341463414634","4162,6875"
Germany,2006,"19,4956220823608","79,1317073170732","3681,3659668"
Germany,2005,"18,8586850514415","78,9317073170732","3544,56616211"
Germany,2004,"18,2658061525647","78,6804878048781","3447,26977539"
Germany,2003,"17,7182569255381","78,3804878048781","3139,36328125"
Germany,2002,"17,2650364693375","78,2292682926829","2557,53564453"
Germany,2001,"16,8557051631062","78,3292682926829","2338,12231445"
Germany,2000,"16,4607313825805","77,9268292682927","2336,36230469"
Denmark,2022,"20,4007400764725","81,3048780487805","6451,19433594"
Denmark,2021,"20,2481262517018","81,4048780487805","7429,99023438"
Denmark,2020,"20,0008145375227","81,6024390243903","6520,65771484"
Denmark,2019,"19,7143802297606","81,4512195121951","6049,93408203"
Denmark,2018,"19,4403886413888","80,9536585365854","6219,12988281"
Denmark,2017,"19,1822684091773","81,1024390243903","5817,42529297"
Denmark,2016,"18,9425702764271","80,8536585365854","5603,75830078"
Denmark,2015,"18,7039395633233","80,7024390243902","5508,53369141"
Denmark,2014,"18,4155552098464","80,7","6447,92382813"
Denmark,2013,"18,0533476868912","80,3","6320,08447266"
Denmark,2012,"17,6035443304634","80,0512195121951","6155,76367188"
Denmark,2011,"17,0763558660448","79,8","6426,39990234"
Denmark,2010,"16,5574489274022","79,1","6156,68554688"
Denmark,2009,"16,1019309009513","78,5975609756098","6208,48486328"
Denmark,2008,"15,735788408074","78,4463414634146","6117,69677734"
Denmark,2007,"15,4557349146506","78,1951219512195","5453,83837891"
Denmark,2006,"15,2481599729283","78,0951219512195","4770,13720703"
Denmark,2005,"15,0928272794378","77,8439024390244","4436,07421875"
Denmark,2004,"14,9629722691678","77,4926829268293","4189,47265625"
Denmark,2003,"14,8698837174681","77,1439024390244","3602,28295898"
Denmark,2002,"14,817030784647","76,8951219512195","2891,71069336"
Denmark,2001,"14,8038992854408","76,7926829268293","2597,97290039"
Denmark,2000,"14,8179045532594","76,5926829268293","2491,54174805"
Spain,2022,"20,1879992491906","83,1341463414634","2948,61474609"
Spain,2021,"19,8133822943511","83,1780487804878","3188,8515625"
Spain,2020,"19,5596160856506","82,2317073170732","2942,41943359"
Spain,2019,"19,3818276285973","83,8317073170732","2756,62109375"
Spain,2018,"19,2023408408683","83,4317073170732","2784,16308594"
Spain,2017,"18,9928200430073","83,2829268292683","2564,55834961"
Spain,2016,"18,7673388766097","83,3292682926829","2378,13598633"
Spain,2015,"18,5417546078088","82,8317073170732","2383,85302734"
Spain,2014,"18,2556448430349","83,2292682926829","2716,5793457"
Spain,2013,"17,850818523935","83,0780487804878","2664,48339844"
Spain,2012,"17,4565170843771","82,4268292682927","2620,84204102"
Spain,2011,"17,1687054838507","82,4756097560976","2938,18041992"
Spain,2010,"16,8924601879808","81,6268292682927","2816,84350586"
Spain,2009,"16,624463548763","81,4756097560976","2962,48266602"
Spain,2008,"16,4438826004183","81,1756097560976","3019,7578125"
Spain,2007,"16,4323340980449","80,8731707317073","2625,55664063"
Spain,2006,"16,5359190105435","80,8219512195122","2256,68066406"
Spain,2005,"16,5458746280758","80,1707317073171","2074,33081055"
Spain,2004,"16,6200037719819","79,8707317073171","1932,21398926"
Spain,2003,"16,8143513811509","79,619512195122","1648,05712891"
Spain,2002,"16,9184155055798","79,5682926829268","1174,5793457"
Spain,2001,"16,8103108793461","79,3682926829268","1045,05065918"
Spain,2000,"16,547877414587","78,9658536585366","1005,28399658"
Finland,2022,"23,2287672110978","81,1878048780488","4902,0390625"
Finland,2021,"22,8749565743109","81,8853658536585","5261,90966797"
Finland,2020,"22,4906828905898","81,9317073170732","4736,21435547"
Finland,2019,"22,061393842071","81,9829268292683","4459,9296875"
Finland,2018,"21,6154814502107","81,7341463414634","4521,27636719"
Finland,2017,"21,1457473282604","81,6317073170732","4235,75488281"
Finland,2016,"20,6838033296157","81,4292682926829","4108,73974609"
Finland,2015,"20,2090618722589","81,4804878048781","4128,20751953"
Finland,2014,"19,6661048130943","81,1804878048781","4922,4296875"
Finland,2013,"19,0733570715343","80,9756097560976","4892,03369141"
Finland,2012,"18,4499585932434","80,6268292682927","4573,19726563"
Finland,2011,"17,8213910625007","80,4707317073171","4717,5078125"
Finland,2010,"17,2594164785613","79,8707317073171","4251,52880859"
Finland,2009,"16,8796258150036","79,719512195122","4349,89501953"
Finland,2008,"16,629047778842","79,5682926829268","4486,33789063"
Finland,2007,"16,4860618184775","79,2634146341464","3918,64453125"
Finland,2006,"16,2327000834465","79,2146341463415","3414,94140625"
Finland,2005,"15,9351969717591","78,8170731707317","3236,85839844"
Finland,2004,"15,722183075154","78,7146341463415","3044,12109375"
Finland,2003,"15,4567323140138","78,3682926829268","2613,84570313"
Finland,2002,"15,2453992330805","78,119512195122","2059,3269043"
Finland,2001,"15,0767515855428","77,9658536585366","1810,40380859"
