country,aspettativa_media,spesa_media_usd,indice_efficienza
Romania,"74,9","520,0","143,997"
Poland,"77,3","880,0","87,802"
Hungary,"75,5","994,0","75,968"
Czechia,"78,5","1545,0","50,835"
Greece,"81,2","1806,0","44,936"
Portugal,"80,8","2064,0","39,164"
Spain,"83,0","2662,0","31,157"
Italy,"82,8","3019,0","27,425"
Finland,"81,1","4481,0","18,107"
France,"82,4","4625,0","17,81"
Belgium,"81,1","4868,0","16,65"
Germany,"80,7","5001,0","16,144"
Austria,"81,3","5078,0","16,015"
Netherlands,"81,5","5210,0","15,639"
Sweden,"82,2","5933,0","13,85"
Denmark,"80,5","6071,0","13,261"
