country,year,pop65_percentage,life_expectancy,health_exp_usd
Italy,2022,"23,929189689659","82,7","3154,57104492"
Italy,2021,"23,6619735523658","82,6463414634146","3414,57299805"
Italy,2020,"23,379233231567","82,1951219512195","3058,90014648"
Italy,2019,"23,104171093177","83,4975609756098","2908,83154297"
Italy,2018,"22,8062143288843","83,3463414634146","3031,46459961"
Italy,2017,"22,558669089969","82,9463414634147","2851,28686523"
Italy,2016,"22,3095886391617","83,2439024390244","2735,27783203"
Italy,2015,"22,0285256126439","82,5439024390244","2707,43310547"
Italy,2014,"21,6978740078895","83,090243902439","3190,46777344"
Italy,2013,"21,330672420342","82,690243902439","3139,87939453"
Italy,2012,"20,9966444751961","82,2390243902439","3071,00048828"
Italy,2011,"20,6879338870931","82,1878048780488","3358,95654297"
Italy,2010,"20,4589612100469","82,0365853658537","3190,72045898"
Italy,2009,"20,3135164047155","81,6365853658537","3314,15844727"
Italy,2008,"20,2043389169453","81,4853658536585","3483,39086914"
Italy,2007,"20,1236179704111","81,4341463414634","3077,41381836"
Italy,2006,"19,9355953277602","81,2829268292683","2821,77392578"
Italy,2005,"19,6352354411702","80,7829268292683","2669,72802734"
Italy,2004,"19,329212127098","80,7804878048781","2560,45776367"
Italy,2003,"19,0525655493978","79,9829268292683","2160,91210938"
Italy,2002,"18,7987896858146","80,2292682926829","1762,359375"
Italy,2001,"18,5127619063707","80,1268292682927","1586,67272949"
Italy,2000,"18,2167668390368","79,7780487804878","1524,23962402"
