country,percentage_2022,proiezione_2032,proiezione_2042
Finland,"23,23","28,01","32,79"
Portugal,"23,69","28,18","32,67"
Greece,"23,23","26,57","29,91"
Italy,"23,93","26,86","29,79"
France,"21,38","25,27","29,16"
Poland,"19,02","24,01","29,0"
Czechia,"20,52","24,54","28,56"
Hungary,"20,61","24,23","27,85"
Netherlands,"19,9","23,46","27,02"
Germany,"22,46","24,28","26,1"
Romania,"19,52","22,77","26,02"
Denmark,"20,4","23,2","26,0"
Spain,"20,19","22,92","25,65"
Belgium,"19,77","22,05","24,33"
Austria,"19,79","21,63","23,47"
Sweden,"20,34","21,7","23,06"
