country,year,pop65_percentage,life_expectancy,health_exp_usd
Austria,2022,"19,7897509199721","81,2951219512195","5897,97607422"
Belgium,2022,"19,7671927585206","81,7487804878049","5487,59277344"
Czechia,2022,"20,5183106530339","78,9292682926829","2431,08496094"
Germany,2022,"22,4589063795192","80,6080487804878","6226,14208984"
Denmark,2022,"20,4007400764725","81,3048780487805","6451,19433594"
Spain,2022,"20,1879992491906","83,1341463414634","2948,61474609"
Finland,2022,"23,2287672110978","81,1878048780488","4902,0390625"
France,2022,"21,3773491158756","82,1292682926829","4857,73388672"
Greece,2022,"23,2281742678017","80,7878048780488","1768,11071777"
Hungary,2022,"20,6075593133653","75,8682926829268","1228,00231934"
Italy,2022,"23,929189689659","82,7","3154,57104492"
Netherlands,2022,"19,9012830406524","81,6146341463415","5967,90429688"
Poland,2022,"19,0192157040405","77,1560975609756","1219,29125977"
Portugal,2022,"23,688003515383","81,6317073170732","2600,56665039"
Romania,2022,"19,5152470245056","75,1536585365854","902,2677002"
Sweden,2022,"20,3419018248482","83,0585365853659","6022,39257813"
