country,percentage_2000,percentage_2022,incremento,variazione_percentage
Finland,"14,92","23,23","8,31","55,7"
Poland,"12,24","19,02","6,78","55,3"
Czechia,"13,76","20,54","6,78","49,2"
Netherlands,"13,48","19,9","6,42","47,6"
Portugal,"16,13","23,69","7,56","46,8"
Romania,"13,49","19,52","6,03","44,7"
Hungary,"14,91","20,61","5,7","38,2"
Denmark,"14,8","20,4","5,6","37,8"
Greece,"17,03","23,23","6,2","36,4"
Germany,"16,46","22,46","6,0","36,4"
France,"16,01","21,38","5,37","33,5"
Italy,"18,22","23,93","5,71","31,4"
Austria,"15,44","19,79","4,35","28,2"
Spain,"16,43","20,19","3,76","22,9"
Sweden,"17,16","20,34","3,18","18,5"
Belgium,"16,81","19,77","2,96","17,6"
