country,year,value
Austria,2022,5897.97607422
Austria,2021,6554.14257813
Austria,2020,5569.84130859
Austria,2019,5313.19287109
Austria,2018,5394.55908203
Austria,2017,4999.86962891
Austria,2016,4758.89892578
Austria,2015,4649.59667969
Austria,2014,5418.47558594
Austria,2013,5251.96826172
Austria,2012,4983.67724609
Austria,2011,5191.92333984
Austria,2010,4815.26953125
Austria,2009,4939.75878906
Austria,2008,5080.83740234
Austria,2007,4484.81640625
Austria,2006,3899.90722656
Austria,2005,3720.02441406
Austria,2004,3606.77856445
Austria,2003,3122.31201172
Austria,2002,2531.61938477
Austria,2001,2315.42285156
Austria,2000,2301.89208984
Belgium,2022,5487.59277344
Belgium,2021,5847.17333984
Belgium,2020,5269.40625
Belgium,2019,5087.45654297
Belgium,2018,5233.68261719
Belgium,2017,4827.59326172
Belgium,2016,4569.640625
Belgium,2015,4465.45556641
Belgium,2014,5110.17333984
Belgium,2013,5005.64990234
Belgium,2012,4763.93505859
Belgium,2011,4990.35595703
Belgium,2010,4626.02685547
Belgium,2009,4755.80859375
Belgium,2008,4656.04150391
Belgium,2007,4066.2121582
Belgium,2006,3547.06835938
Belgium,2005,3415.64599609
Belgium,2004,3322.28857422
Belgium,2003,2822.50341797
Belgium,2002,2084.7199707
Belgium,2001,1879.93457031
Belgium,2000,1849.91601563
Czechia,2022,2431.08496094
Czechia,2021,2538.03344727
Czechia,2020,2106.28027344
Czechia,2019,1805.44030762
Czechia,2018,1750.81188965
Czechia,2017,1516.75012207
Czechia,2016,1374.9005127
Czechia,2015,1308.8013916
Czechia,2014,1512.59326172
Czechia,2013,1508.79907227
Czechia,2012,1509.77526855
Czechia,2011,1649.15905762
Czechia,2010,1509.44726563
Czechia,2009,1442.24279785
Czechia,2008,1449.33679199
Czechia,2007,1110.17663574
Czechia,2006,942.11804199
Czechia,2005,852.65246582
Czechia,2004,746.32891846
Czechia,2003,640.66040039
Czechia,2002,497.74203491
Czechia,2001,388.54403687
Czechia,2000,342.92108154
Germany,2022,6226.14208984
Germany,2021,6653.58349609
Germany,2020,5906.80615234
Germany,2019,5447.31787109
Germany,2018,5473.55712891
Germany,2017,5039.35302734
Germany,2016,4723.32421875
Germany,2015,4605.59033203
Germany,2014,5287.34423828
Germany,2013,5080.62402344
Germany,2012,4744.87011719
Germany,2011,5016.23583984
Germany,2010,4592.07128906
Germany,2009,4655.171875
Germany,2008,4647.31005859
Germany,2007,4162.6875
Germany,2006,3681.3659668
Germany,2005,3544.56616211
Germany,2004,3447.26977539
Germany,2003,3139.36328125
Germany,2002,2557.53564453
Germany,2001,2338.12231445
Germany,2000,2336.36230469
Denmark,2022,6451.19433594
Denmark,2021,7429.99023438
Denmark,2020,6520.65771484
Denmark,2019,6049.93408203
Denmark,2018,6219.12988281
Denmark,2017,5817.42529297
Denmark,2016,5603.75830078
Denmark,2015,5508.53369141
Denmark,2014,6447.92382813
Denmark,2013,6320.08447266
Denmark,2012,6155.76367188
Denmark,2011,6426.39990234
Denmark,2010,6156.68554688
Denmark,2009,6208.48486328
Denmark,2008,6117.69677734
Denmark,2007,5453.83837891
Denmark,2006,4770.13720703
Denmark,2005,4436.07421875
Denmark,2004,4189.47265625
Denmark,2003,3602.28295898
Denmark,2002,2891.71069336
Denmark,2001,2597.97290039
Denmark,2000,2491.54174805
Spain,2022,2948.61474609
Spain,2021,3188.8515625
Spain,2020,2942.41943359
Spain,2019,2756.62109375
Spain,2018,2784.16308594
Spain,2017,2564.55834961
Spain,2016,2378.13598633
Spain,2015,2383.85302734
Spain,2014,2716.5793457
Spain,2013,2664.48339844
Spain,2012,2620.84204102
Spain,2011,2938.18041992
Spain,2010,2816.84350586
Spain,2009,2962.48266602
Spain,2008,3019.7578125
Spain,2007,2625.55664063
Spain,2006,2256.68066406
Spain,2005,2074.33081055
Spain,2004,1932.21398926
Spain,2003,1648.05712891
Spain,2002,1174.5793457
Spain,2001,1045.05065918
Spain,2000,1005.28399658
Finland,2022,4902.0390625
Finland,2021,5261.90966797
Finland,2020,4736.21435547
Finland,2019,4459.9296875
Finland,2018,4521.27636719
Finland,2017,4235.75488281
Finland,2016,4108.73974609
Finland,2015,4128.20751953
Finland,2014,4922.4296875
Finland,2013,4892.03369141
Finland,2012,4573.19726563
Finland,2011,4717.5078125
Finland,2010,4251.52880859
Finland,2009,4349.89501953
Finland,2008,4486.33789063
Finland,2007,3918.64453125
Finland,2006,3414.94140625
Finland,2005,3236.85839844
Finland,2004,3044.12109375
Finland,2003,2613.84570313
Finland,2002,2059.3269043
Finland,2001,1810.40380859
Finland,2000,1726.74438477
France,2022,4857.73388672
France,2021,5364.89746094
France,2020,4760.08251953
France,2019,4519.98583984
France,2018,4692.99511719
France,2017,4436.63720703
France,2016,4289.34716797
France,2015,4226.62646484
France,2014,5007.29736328
France,2013,4884.71582031
France,2012,4659.92431641
France,2011,4936.95605469
France,2010,4593.66308594
France,2009,4737.578125
France,2008,4807.37451172
France,2007,4312.31054688
France,2006,3811.55175781
France,2005,3575.02514648
France,2004,3458.62744141
France,2003,3006.3059082
France,2002,2449.75830078
France,2001,2192.71557617
France,2000,2161.85302734
Greece,2022,1768.11071777
Greece,2021,1846.37304688
Greece,2020,1674.78417969
Greece,2019,1569.02844238
Greece,2018,1603.07788086
Greece,2017,1509.78442383
Greece,2016,1513.25939941
Greece,2015,1481.41967773
Greece,2014,1700.4942627
Greece,2013,1832.02954102
Greece,2012,1948.24816895
Greece,2011,2338.91577148
Greece,2010,2564.36987305
Greece,2009,2809.05957031
Greece,2008,2840.50854492
Greece,2007,2426.75952148
Greece,2006,2052.87548828
Greece,2005,1935.26757813
Greece,2004,1782.69592285
Greece,2003,1566.40979004
Greece,2002,1168.82409668
Greece,2001,1004.81542969
Greece,2000,885.41052246
Hungary,2022,1228.00231934
Hungary,2021,1392.97460938
Hungary,2020,1182.54138184
Hungary,2019,1062.15869141
Hungary,2018,1087.64611816
Hungary,2017,990.90808105
